,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins
1188,Simply Organic,"Organic Ground Black Pepper, 4 oz",5.99,0.89,0.8,0.8514190317195326,0.8664440734557596,0.015025041736226985,75% or more
1770,Brekki,"Banana And Maple Brown Sugar Overnight Oats, 5.3 oz",2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%
1778,Brekki,"Overnight Oats With Ancient Grains Buleberries, 5.3 oz",2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%
1690,Brekki,"Original Overnight Oats, 5.3 oz",2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%
1938,Brekki,"Strawberry Overnight Oats, 5.3 oz",2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%
64,365 by Whole Foods Market,"Organic Peanut Butter, Creamy, 28 oz",6.49,2.19,1.97,0.662557781201849,0.6964560862865947,0.03389830508474567,50% to 75%
160,365 by Whole Foods Market,"Creamy Peanut Butter, 36 oz",5.39,2.19,1.97,0.5936920222634507,0.634508348794063,0.04081632653061229,50% to 75%
971,Muir Glen,"Organic Fire Roasted Diced Tomatoes (No Salt Added), 14.5 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
876,Muir Glen,"Organic Diced Tomatoes - No Salt Added, 14.5 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
967,Muir Glen,"Organic Fire Roasted Diced Tomatoes, 14.5 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
1047,Muir Glen,"Organic Fire Roasted Diced Tomatoes With Medium Green Chilies, 14.5 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
679,Muir Glen,"Organic Tomato Sauce, 15 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
729,Muir Glen,"Organic Tomato Sauce (No Salt Added), 15 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
794,Muir Glen,"Organic Diced Tomatoes, 14.5 oz",2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%
1992,Bob's Red Mill,"Baking Soda, 16 oz",2.79,1.39,1.25,0.5017921146953406,0.5519713261648745,0.05017921146953397,50% to 75%
179,365 by Whole Foods Market,"Organic Peanut Butter, Crunchy, 16 oz",4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%
154,365 by Whole Foods Market,"Organic Peanut Butter, Creamy, 16 oz",4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%
58,365 by Whole Foods Market,"Organic Creamy Peanut Butter (Unsweetened & No Salt), 16 oz",4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%
735,SWEET LEAF TEA,"Steviaclear Sweet Drops, 4 fl oz",19.29,9.99,8.99,0.48211508553654736,0.5339554173146708,0.051840331778123416,50% to 75%
239,Annie's Homegrown,"Shells & White Cheddar Macaroni & Cheese, 6 oz",1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%
928,Bunny,"Pasta With Yummy Cheese Macaroni & Cheese, 6 oz",1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%
