,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
1188,Simply Organic,Organic Ground Black Pepper,5.99,0.89,0.8,0.8514190317195326,0.8664440734557596,0.015025041736226985,75% or more,Pepper
1778,Brekki,Overnight Oats With Ancient Grains Buleberries,2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%,Oats
1690,Brekki,Original Overnight Oats,2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%,Oats
1770,Brekki,Banana And Maple Brown Sugar Overnight Oats,2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%,Banana
1938,Brekki,Strawberry Overnight Oats,2.99,0.99,0.89,0.6688963210702341,0.7023411371237458,0.03344481605351168,50% to 75%,Oats
64,Whole Foods Market,"Organic Peanut Butter, Creamy",6.49,2.19,1.97,0.662557781201849,0.6964560862865947,0.03389830508474567,50% to 75%,Butter
160,Whole Foods Market,Creamy Peanut Butter,5.39,2.19,1.97,0.5936920222634507,0.634508348794063,0.04081632653061229,50% to 75%,Butter
971,Muir Glen,Organic Fire Roasted Diced Tomatoes (No Salt Added),2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Tomato
794,Muir Glen,Organic Diced Tomatoes,2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Tomato
967,Muir Glen,Organic Fire Roasted Diced Tomatoes,2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Tomato
1047,Muir Glen,Organic Fire Roasted Diced Tomatoes With Medium Green Chilies,2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Tomato
729,Muir Glen,Organic Tomato Sauce (No Salt Added),2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Sauce
679,Muir Glen,Organic Tomato Sauce,2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Sauce
876,Muir Glen,Organic Diced Tomatoes - No Salt Added,2.19,1.0,0.9,0.54337899543379,0.5890410958904109,0.04566210045662089,50% to 75%,Tomato
1992,Bob's Red Mill,Baking Soda,2.79,1.39,1.25,0.5017921146953406,0.5519713261648745,0.05017921146953397,50% to 75%,Soda
154,Whole Foods Market,"Organic Peanut Butter, Creamy",4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%,Butter
58,Whole Foods Market,Organic Creamy Peanut Butter (Unsweetened & No Salt),4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%,Butter
179,Whole Foods Market,"Organic Peanut Butter, Crunchy",4.29,2.19,1.97,0.4895104895104895,0.5407925407925408,0.05128205128205132,50% to 75%,Butter
735,SWEET LEAF TEA,Steviaclear Sweet Drops,19.29,9.99,8.99,0.48211508553654736,0.5339554173146708,0.051840331778123416,50% to 75%,Steviaclear
928,Bunny,Pasta With Yummy Cheese Macaroni & Cheese,1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%,Pasta
551,Annie's Homegrown,Shells & Real Aged Cheddar Macaroni & Cheese,1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%,Shells
1746,Annie's Homegrown,Less Sodium Macaroni & Cheese,1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%,Macaroni
239,Annie's Homegrown,Shells & White Cheddar Macaroni & Cheese,1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%,Shells
400,Annie's Homegrown,Macaroni & Cheese,1.89,1.0,0.9,0.4708994708994708,0.5238095238095237,0.05291005291005291,50% to 75%,Macaroni
781,Ozery Bakery,Multi-Grain One Bun Sandwich Buns,4.69,2.5,2.25,0.4669509594882729,0.5202558635394456,0.05330490405117272,50% to 75%,Buns
1594,Twinings,Decaf Earl Grey Tea 20ct,5.49,2.99,2.69,0.4553734061930783,0.5100182149362478,0.05464480874316946,50% to 75%,Earl
