,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
13599,baby food formula,baby food formula,777596,25.42720607326186,381617,12.478786027783027,381617,12.478786027783027,2.0376345917503675,2.0376345917503675,0.16328788611438133
4777,fresh herbs,fresh vegetables,517007,16.90600714293656,377003,12.327909314397118,3410786,111.53189894726378,1.3713604401025987,0.15158001704006058,0.012295679111058859
4798,fresh vegetables,fresh vegetables,4631302,151.4424847112251,3410786,111.53189894726378,3410786,111.53189894726378,1.3578400990270276,1.3578400990270276,0.012174455127578006
5348,cat food care,cat food care,80419,2.6296823610276356,63032,2.0611315557305354,63032,2.0611315557305354,1.2758440157380377,1.2758440157380377,0.6190017382397676
4796,poultry counter,fresh vegetables,150595,4.92442103431971,128865,4.2138551518151965,3410786,111.53189894726378,1.1686260815582197,0.04415257949340708,0.010477953774559038
4730,tofu meat alternatives,fresh vegetables,150317,4.91533049978974,129151,4.223207284461138,3410786,111.53189894726378,1.1638856841991156,0.044071073353766546,0.0104354511595776
4790,meat counter,fresh vegetables,80433,2.630140157730584,70533,2.3064124892172524,3410786,111.53189894726378,1.1403598315682022,0.023581954423408564,0.010224517311477003
4809,seafood counter,fresh vegetables,32819,1.0731735710039416,29443,0.9627791660644459,3410786,111.53189894726378,1.1146622287131067,0.009622122290873716,0.009994111453622416
4745,bulk grains rice dried goods,fresh vegetables,19008,0.6215571235455962,17173,0.5615530556948929,3410786,111.53189894726378,1.106853782099808,0.005572909001033779,0.009924100571650513
4811,fresh fruits,fresh vegetables,3827930,125.17240950830673,3626997,118.60194772877246,3410786,111.53189894726378,1.0553992738345248,1.122301428468394,0.009462757146577006
4810,eggs,fresh vegetables,464048,15.17426031497721,450178,14.720714581413585,3410786,111.53189894726378,1.030810035141655,0.1360530974385376,0.009242288931429907
4764,canned jarred vegetables,fresh vegetables,303418,9.92169714393717,296478,9.694760778332874,3410786,111.53189894726378,1.0234081449551062,0.08895838085414916,0.009175923252584536
4808,packaged vegetables fruits,fresh vegetables,1787547,58.4523659260606,1759552,57.53693601898679,3410786,111.53189894726378,1.0159102998945186,0.5240865302015429,0.009108697238041977
4767,canned meals beans,fresh vegetables,269735,8.820270976408427,269952,8.827366825304123,3410786,111.53189894726378,0.9991961533902323,0.0790829445177739,0.008958837452078957
4772,grains rice dried goods,fresh vegetables,141784,4.636303409342846,143790,4.701899136922416,3410786,111.53189894726378,0.9860490993810418,0.04156930396688622,0.008840960377149864
4783,packaged poultry,fresh vegetables,114774,3.7530827702978886,117846,3.85353644683051,3410786,111.53189894726378,0.9739320808512806,0.03365030816943661,0.008732318646451003
5079,fresh fruits,fresh fruits,3399994,111.17900308881975,3626997,118.60194772877246,3626997,118.60194772877246,0.9374129617421796,0.9374129617421796,0.007903858070576746
5073,milk,fresh fruits,824887,26.9736106360562,883960,28.9052838241459,3626997,118.60194772877246,0.9331723154893886,0.22742974422090784,0.007868102787177112
