,company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product,
962,Vega,"Sport Protein Chocolate Tub, 29.5 oz",54.99,43.99,39.59,Beverages,0.20003637,0.280050918,0.080014548,20% to 30%,supplement,57
833,Louisville Vegan Jerky Co.,"Black Pepper Smoked Jerky, 3 oz",6.99,5.99,5.39,snacks_chips_salsas_dips,0.143061516,0.228898426,0.08583691,20% to 30%,supplement,57
827,Louisville Vegan Jerky Co.,"Paulette's Maple Bacon Vegan Jerky, 3 oz",6.99,5.99,5.39,snacks_chips_salsas_dips,0.143061516,0.228898426,0.08583691,20% to 30%,supplement,57
821,Louisville Vegan Jerky Co.,"Carolina Bbq Jerky, 3 oz",6.99,5.99,5.39,snacks_chips_salsas_dips,0.143061516,0.228898426,0.08583691,20% to 30%,supplement,57
862,Louisville Vegan Jerky Co.,"Vegan Jerky, 3 oz",6.99,5.99,5.39,snacks_chips_salsas_dips,0.143061516,0.228898426,0.08583691,20% to 30%,supplement,57
850,Louisville Vegan Jerky Co.,"Enid's Perfect Pepperoni Vegan Jerky, 3 oz",6.99,5.99,5.39,snacks_chips_salsas_dips,0.143061516,0.228898426,0.08583691,20% to 30%,supplement,57
716,Barlean's,"Omega Swirl Strawberry Banana Flax Oil, 16 oz",30.49,19.99,17.99,supplements,0.344375205,0.409970482,0.065595277,40% to 50%,supplement,57
695,Lakewood,"PURE Whole Leaf Aloe Pure Organic, 32 fl oz",8.99,5.99,5.39,supplements,0.333704116,0.400444939,0.066740823,40% to 50%,supplement,57
686,Liquid I.V.,"Hydration Multiplier Passion Fruit Passion Fruit, 16 gram",2.99,2,1.8,supplements,0.331103679,0.397993311,0.066889632,30% to 40%,supplement,57
673,Liquid IV,"Hydration Sleeve, 0.56 oz",2.99,2,1.8,supplements,0.331103679,0.397993311,0.066889632,30% to 40%,supplement,57
680,Enzymedica,"Digest Gold, 90 capsules",54.49,39.99,35.99,supplements,0.266103872,0.339511837,0.073407965,30% to 40%,supplement,57
697,GoodBelly,"Straightshot Probiotic Oat Drink, 4 bottles",3.79,2.79,2.51,supplements,0.263852243,0.337730871,0.073878628,30% to 40%,supplement,57
699,Barlean's,"Organic Lignan Rich Flax Oil, 16 fl oz",24.99,18.49,16.64,supplements,0.260104042,0.334133653,0.074029612,30% to 40%,supplement,57
719,Wishgarden,"Herbs Get Over It! - Herbal Immune Booster Tincture, Supports Your Body's Natural Immune Response, Maintain a Healthy Immune System (0.66oz)",10.49,7.79,7.01,supplements,0.257387989,0.331744519,0.07435653,30% to 40%,supplement,57
677,Wedderspoon,"Organic Manuka Honey Drops Ginger, 4 oz",11.99,8.99,8.09,supplements,0.250208507,0.325271059,0.075062552,30% to 40%,supplement,57
682,Wedderspoon,"Organic Manuka Honey Drops Lemon, 4 oz",11.99,8.99,8.09,supplements,0.250208507,0.325271059,0.075062552,30% to 40%,supplement,57
696,Plant Fusion,"Vanilla Complete Plant Protein, 15.87 oz",32.99,25.89,23.3,supplements,0.215216732,0.293725371,0.078508639,20% to 30%,supplement,57
698,Nature's Way,"Sambucus Immune Standardized Elderberry Syrup, 4 fl oz",18.99,15.19,13.67,supplements,0.200105319,0.280147446,0.080042127,20% to 30%,supplement,57
662,Nature's Way,"Standardized Elderberry Sambucus Gummies, 60 gummies",20.99,16.79,15.11,supplements,0.200095283,0.280133397,0.080038113,20% to 30%,supplement,57
714,Vega,"Sport Sugarfree Energizer Acai Berry Tub, 4 oz",39.99,31.99,28.79,supplements,0.200050013,0.280070018,0.080020005,20% to 30%,supplement,57
711,Vega,"Sport Energizer Strawberry Lemonade Tub, 16.1 oz",39.99,31.99,28.79,supplements,0.200050013,0.280070018,0.080020005,20% to 30%,supplement,57
665,Vega,"Sport Protein Chocolate Tub, 29.5 oz",54.99,43.99,39.59,supplements,0.20003637,0.280050918,0.080014548,20% to 30%,supplement,57
663,Vega,"Vanilla Flavor Sport Performance Protein, 29.2 oz",54.99,43.99,39.59,supplements,0.20003637,0.280050918,0.080014548,20% to 30%,supplement,57
685,Barlean's,"Organic Flax Oil, 16 fl oz",22.99,18.49,16.64,supplements,0.195737277,0.276207047,0.080469769,20% to 30%,supplement,57
689,Manitoba Harvest,"Hemp Hearts, 16 oz",18.99,15.29,13.76,supplements,0.194839389,0.27540811,0.08056872,20% to 30%,supplement,57
664,Manitoba Harvest Hemp Foods,"Organic Hemp Hearts, 12 oz",15.49,12.49,11.24,supplements,0.193673338,0.274370562,0.080697224,20% to 30%,supplement,57
666,Manitoba Harvest Hemp Foods,"Raw Shelled Hemp Seeds, 7 oz",11.99,9.69,8.72,supplements,0.191826522,0.272727273,0.080900751,20% to 30%,supplement,57
674,Manitoba Harvest Hemp Foods,"Natural Hemp Hearts, 8 oz",9.49,7.69,6.92,supplements,0.18967334,0.27081138,0.08113804,20% to 30%,supplement,57
704,New Chapter,"Probiotic All-Flora, 30 capsules",34.99,29.49,26.54,supplements,0.157187768,0.241497571,0.084309803,20% to 30%,supplement,57
705,New Chapter,Women's Daily Probiotic,34.99,29.49,26.54,supplements,0.157187768,0.241497571,0.084309803,20% to 30%,supplement,57
710,GoodBelly,"Straightshot Yumberry Oat Drink, 2.7 fl oz",3.29,2.79,2.51,supplements,0.151975684,0.237082067,0.085106383,20% to 30%,supplement,57
691,Olly,"Kids Cherry Berry Mighty Immunity, 50 gummies",16.49,13.99,12.59,supplements,0.151607035,0.236506974,0.084899939,20% to 30%,supplement,57
709,Plant Fusion,"Chocolate Complete Plant Protein, 15.87 oz",32.99,27.99,25.19,supplements,0.151561079,0.236435283,0.084874204,20% to 30%,supplement,57
688,Vital Proteins,"Mocha Collagen Creamer, 11.2 oz",32.99,27.99,25.19,supplements,0.151561079,0.236435283,0.084874204,20% to 30%,supplement,57
671,Vital Proteins,"Vanilla Collagen Creamer, 10.6 oz",32.99,27.99,25.19,supplements,0.151561079,0.236435283,0.084874204,20% to 30%,supplement,57
667,Ancient Nutrition,"Multi Collagen Protein, 8.6 oz",29.99,25.49,22.94,supplements,0.150050017,0.235078359,0.085028343,20% to 30%,supplement,57
683,Ancient Nutrition,"Vanilla Plant Protein, 11.5 oz",39.99,33.99,30.59,supplements,0.150037509,0.235058765,0.085021255,20% to 30%,supplement,57
694,Ancient Nutrition,"Chocolate Plant Protein, 12.5 oz",39.99,33.99,30.59,supplements,0.150037509,0.235058765,0.085021255,20% to 30%,supplement,57
668,Ancient Nutrition,"Protein Multi Collagen Vanilla, 16.8 oz",49.99,42.49,38.24,supplements,0.150030006,0.235047009,0.085017003,20% to 30%,supplement,57
693,New Chapter,"Wholemega™ Fish Oil, 60 bse-free softgels",26.99,22.99,20.69,supplements,0.148203038,0.233419785,0.085216747,20% to 30%,supplement,57
687,Olly,"Prenatal Folic Acid + DHA Gummy, 60 gummies",16.99,14.49,13.04,supplements,0.14714538,0.2324897,0.08534432,20% to 30%,supplement,57
690,New Chapter,"Bone Strength Take Care™, 60 vegetarian slim tablets",33.99,28.99,26.09,supplements,0.147102089,0.2324213,0.085319212,20% to 30%,supplement,57
