,company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product,vc
0,CASA FORCELLO,Strawberry Balsamic Compote,9.99,4.99,4.49,pantry_essentials,0.501,0.551,0.05,50% or more,Compote,"COUNTIF($L$2:$L$54447, L2)"
24,Santa Cruz Organic,Organic Sangria Spritzer,4.49,2.67,2.4,Beverages,0.405,0.465,0.06,40% to 50%,Spritzer,1
38,AURA CACIA,Clearing Eucalyptus Aromatherapy Mist Clearing Eucalyptus,7.99,4.79,4.31,body_care,0.401,0.461,0.06,40% to 50%,Eucalyptus,1
44,Ocean's Halo,Organic Wakame Strips,5.99,3.69,3.32,pantry_essentials,0.384,0.446,0.062,40% to 50%,Strips,1
47,STARLITE,Original Vegan Soy Taquitos,7.99,4.99,4.49,frozen_foods,0.375,0.438,0.063,40% to 50%,Taquitos,1
66,Jason Natural Products,Moisturizing Vitamin E 25000iu Creme,12.49,7.99,7.19,body_care,0.36,0.424,0.064,40% to 50%,Creme,1
76,PRODUCE,English Cucumbers,2.29,1.5,1.35,produce,0.345,0.41,0.065,40% to 50%,Cucumbers,1
99,Whole Foods Market,Lobster Bisque,9.99,0,6,prepared_foods,1,0.399,0,30% to 40%,Bisque,1
104,Liquid IV,Hydration Multiplier Electrolyte Mix Strawberry Single,2.99,2,1.8,Beverages,0.331,0.398,0.067,30% to 40%,Single,1
151,MEAT,St. Louis Style Pork Spare Ribs,6.99,4.99,4.49,meat,0.286,0.358,0.072,30% to 40%,Ribs,1
152,Whole Foods Market,Mild Italian Pork Sausage,6.99,4.99,4.49,meat,0.286,0.358,0.072,30% to 40%,Sausage,1
160,Lucky Foods,Thai Style Spring Rolls,6.99,4.99,4.49,frozen_foods,0.286,0.358,0.072,30% to 40%,Rolls,1
174,Cascadian Farm,Root Vegetable Hashbrowns,4.19,3,2.7,frozen_foods,0.284,0.356,0.072,30% to 40%,Hashbrowns,1
179,PRODUCE,Green Artichoke,3.49,2.5,2.25,produce,0.284,0.355,0.071,30% to 40%,Artichoke,1
182,Against the Grain,Gluten Free Original Baguettes,8.29,5.99,5.39,bread_rolls_bakery,0.277,0.35,0.073,30% to 40%,Baguettes,1
184,PRODUCE,Organic Collard Green,2.29,1.67,1.5,produce,0.271,0.345,0.074,30% to 40%,Green,1
226,Dandies,Vegan Marshmallows,5.39,3.99,3.59,pantry_essentials,0.26,0.334,0.074,30% to 40%,Marshmallows,1
235,Whole Foods Market,New England Clam Chowder,8.99,0,6,prepared_foods,1,0.333,0,30% to 40%,Chowder,1
258,Jovial,Brown Rice Pasta Farfalle,4.29,3.19,2.87,pantry_essentials,0.256,0.331,0.075,30% to 40%,Farfalle,1
261,Jovial,Brown Rice Pasta Elbows,4.29,3.19,2.87,pantry_essentials,0.256,0.331,0.075,30% to 40%,Elbows,1
307,Cascadian Farm,Organic Honey Almond,3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Almond,1
335,MEAT,Boneless Pork Loin Chops,7.99,5.99,5.39,meat,0.25,0.325,0.075,30% to 40%,Chops,1
343,Cascadian Farm,Organic Riced Cauliflower,3.99,3,2.7,frozen_foods,0.248,0.323,0.075,30% to 40%,Cauliflower,1
379,Jovial,Organic Chickpeas In Glass Jar,3.29,2.49,2.24,pantry_essentials,0.243,0.319,0.076,30% to 40%,Chickpeas,1
381,GoodPop,Watermelon Agave 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Agave,1
384,GoodPop,Strawberry Shortcake 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Shortcake,1
392,SAUCE GODDESS,Gluten-free Moroccan Twist Rub Rub,6.29,4.79,4.31,pantry_essentials,0.238,0.315,0.077,30% to 40%,Rub,1
398,Counter Culture Coffee,Organic Apollo Single Origin Espresso,12.99,9.99,8.99,Beverages,0.231,0.308,0.077,30% to 40%,Espresso,1
408,Nancy's Fancy,Meyer Lemon Torrone,7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Torrone,1
409,Nancy's Fancy,Dark Rum Choc Chip Choc Fondente,7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Fondente,1
412,Nancy's Fancy,Salted Caramel Swirl Butterscotch Budino,7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Budino,1
437,Sunshine Plant-Based Foods™,Ultimate Plant Burger,6.99,5.49,4.94,frozen_foods,0.215,0.293,0.078,20% to 30%,Burger,1
458,EO,Hand Sanitizer,9.79,7.79,7.01,body_care,0.204,0.284,0.08,20% to 30%,Sanitizer,1
459,Jason Natural Products,Cannabis Sativa Seed Oil Moisturizing Crème,9.79,7.79,7.01,body_care,0.204,0.284,0.08,20% to 30%,Crème,1
468,PRODUCE,Strawberries,4.99,3.99,3.59,produce,0.2,0.281,0.081,20% to 30%,Strawberries,1
474,Whole Foods Market,Sliced Roast Beef,4.99,3.99,3.59,meat,0.2,0.281,0.081,20% to 30%,Beef,1
475,Remedy Organics,Organic Cacao Essentials,4.99,3.99,3.59,Beverages,0.2,0.281,0.081,20% to 30%,Essentials,1
476,Teton Waters Ranch,Original Grass-fed Beef Breakfast Links,4.99,3.99,3.59,meat,0.2,0.281,0.081,20% to 30%,Links,1
486,Remedy Organics,Organic Super Chai Fuel,4.99,3.99,3.59,dairy_eggs,0.2,0.281,0.081,20% to 30%,Fuel,1
501,Westbrae Natural,Organic Low Sodium Lentils,2.49,1.99,1.79,pantry_essentials,0.201,0.281,0.08,20% to 30%,Lentil,1
506,ALBA BOTANICA,Very Emollient Dry Skin Formula,14.99,11.99,10.79,body_care,0.2,0.28,0.08,20% to 30%,Formula,1
515,ALBA BOTANICA,Leave In Detangler,7.49,5.99,5.39,body_care,0.2,0.28,0.08,20% to 30%,Detangler,1
526,Pickled Planet,Organic Raw Fermented Taqueria Pickles,8.99,7.19,6.47,pantry_essentials,0.2,0.28,0.08,20% to 30%,Pickles,1
539,Pickled Planet,Organic Kim Chee,8.99,7.19,6.47,pantry_essentials,0.2,0.28,0.08,20% to 30%,Chee,1
543,Pickled Planet,Organic Beat Kraut,8.99,7.19,6.47,pantry_essentials,0.2,0.28,0.08,20% to 30%,Kraut,1
551,Pacha Soap Co.,"Bath Crayons, Kids Warm 3 Pack",10.49,8.39,7.55,body_care,0.2,0.28,0.08,20% to 30%,Crayons,1
