company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
MAD HIPPIE,"Mad Hip Normal/dry Cream Cleanser, 4 fl oz",16.99,14.49,13.04,beauty,0.147,0.232,0.085,20% to 30%,Cleanser
ALBA BOTANICA,"Pineapple Enzyme Facial Cleanser, 8 fl oz",13.49,10.79,9.71,beauty,0.2,0.28,0.08,20% to 30%,Cleanser
Dr. Bronner's,"Organic Naked Lip Balm, 0.15 oz",3.49,2.69,2.42,beauty,0.229,0.307,0.078,30% to 40%,Balm
Dr. Bronner's,"Organic Peppermint Lip Balm, 0.15 oz",3.49,2.69,2.42,beauty,0.229,0.307,0.078,30% to 40%,Balm
Dr. Bronner's,"Organic Lemon Lime Lip Balm, 0.15 oz",3.49,2.69,2.42,beauty,0.229,0.307,0.078,30% to 40%,Balm
ALAFFIA,"Purely Coconut Lip Balm, 0.15 oz",2.99,2.49,2.24,beauty,0.167,0.251,0.084,20% to 30%,Balm
ALAFFIA,"Coconut Pineapple Lip Balm, 0.15 oz",2.99,2.49,2.24,beauty,0.167,0.251,0.084,20% to 30%,Balm
ALAFFIA,"Coconut Mint Lip Balm, 1 stick",2.99,2.49,2.24,beauty,0.167,0.251,0.084,20% to 30%,Balm
ALBA BOTANICA,"Nourishing Coconut Cream Hawaiian Lip Balm, 0.15 oz",3.49,2.79,2.51,beauty,0.201,0.281,0.08,20% to 30%,Balm
ALBA BOTANICA,"Coconut Milk Rich Hair Wash, 12 fl oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Milk
PUREZERO,"Coconut Milk Conditioner, 12 fl oz",6.99,5.99,5.39,beauty,0.143,0.229,0.086,20% to 30%,Milk
PUREZERO,"Coconut Milk Shampoo, 12 fl oz",6.99,5.99,5.39,beauty,0.143,0.229,0.086,20% to 30%,Milk
ALBA BOTANICA,"Coconut Milk Rich Hair Conditioner, 12 oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Milk
Jason Natural Products,"Thin To Thick Conditioner, 8 oz",9.49,5.49,4.94,beauty,0.421,0.479,0.058,40% to 50%,Conditioner
ALBA BOTANICA,"Mango Body Builder Conditioner, 12 oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Conditioner
ALBA BOTANICA,"Hawaiian Gardenia Conditioner, 12 oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Conditioner
AVALON ORGANICS,"Nourishing Lavender Conditioner, 32 oz",22.49,18.99,17.09,beauty,0.156,0.24,0.084,20% to 30%,Conditioner
AVALON ORGANICS,"Organic Biotin B Complx Thick Conditioner, 32 oz",22.49,18.99,17.09,beauty,0.156,0.24,0.084,20% to 30%,Conditioner
AVALON ORGANICS,"Rosemary Conditioner, 11 oz",10.29,8.79,7.91,beauty,0.146,0.231,0.085,20% to 30%,Conditioner
AVALON ORGANICS,"Nourishing Lavender Conditioner, 11 oz",10.29,8.79,7.91,beauty,0.146,0.231,0.085,20% to 30%,Conditioner
AVALON ORGANICS,"Organic Biotin Thickening Conditioner, 14 oz",9.69,8.29,7.46,beauty,0.144,0.23,0.086,20% to 30%,Conditioner
ALBA BOTANICA,"Plumria Replenishing Hair Conditioner, 12 oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Conditioner
AVALON ORGANICS,"Organic Tea Tree Conditioner, 11 oz",9.29,7.99,7.19,beauty,0.14,0.226,0.086,20% to 30%,Conditioner
Jason Natural Products,"Dandruff Relief Shampoo, 12 fl oz",13.79,8.79,7.91,beauty,0.363,0.426,0.063,40% to 50%,Shampoo
ALBA BOTANICA,"Mango Body Builder Shampoo, 12 fl oz",10.99,8.79,7.91,beauty,0.2,0.28,0.08,20% to 30%,Shampoo
Jason Natural Products,"Thin To Thick Shampoo, 8 fl oz",9.49,7.99,7.19,beauty,0.158,0.242,0.084,20% to 30%,Shampoo
ALAFFIA,"Curl Enhancing Shampoo, 12 fl oz",12.79,10.79,9.71,beauty,0.156,0.241,0.085,20% to 30%,Shampoo
AVALON ORGANICS,"Organic Biotin Shampoo, 32 fl oz",22.49,18.99,17.09,beauty,0.156,0.24,0.084,20% to 30%,Shampoo
