,items
0,Cheese
1,Chocolate
2,body_care
3,Yogurt
4,Beverage
5,supplement
6,Juice
7,Frozen
8,Pantry
9,Sauce
10,Wash
11,Snack
12,Coffee
13,Tea
14,Essential Oil
15,Soup
16,Pasta
17,Soap
18,Cereal
19,Toothpaste
20,Kombucha
21,Oil
22,Dairy
23,Cookies
24,Broth
25,Seltzer
26,Shampoo
27,Bars
28,Lotion
29,Chips
30,Gum
31,Water
32,Tomato
33,Ice Cream
34,Dessert
35,Deodorant
36,Rice
37,Chicken
38,Jerky
39,Conditioner
40,Oats
41,Milk
42,Meat
43,Butter
44,Almondmilk
45,Balm
46,Granola
47,Salami
48,Gelato
49,Noodles
50,Olives
51,Flatbread
52,Hummus
53,Honey
54,Vinegar
55,Crackers
56,Spray
57,Seasoning
58,Bacon
59,Beans
60,Sweetener
61,Smoothie
62,Spread
63,Shake
64,Puffs
65,Turkey
66,Pretzels
67,Lemonade
68,Kale
69,Chard
70,Dip
71,Bouquet
72,Ham
73,Flour
74,Paste
75,Blondie
76,Bread
77,Cleanser
78,Sandwich
79,Pork
80,Fillet
81,Artichokes
82,Steak
83,Filter
84,Potatoes
85,Sprouts
86,Beef
87,Brownie
88,Bison
89,Tilapia
90,Bag
91,Baguettes
92,Artichoke
93,Sausage
94,Salmon
95,Ribs
96,Garlic
97,Lamb
98,Cucumbers
99,Crust
100,Roll
101,Shrimp
102,Citrus
103,Strawberries
104,Green
