,company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
0,CASA FORCELLO,"Strawberry Balsamic Compote, 4.94 oz",9.99,4.99,4.49,pantry_essentials,0.501,0.551,0.05,50% or more,Pantry
1,Whole Foods Market,"Organic Dark Roast Steeped Coffee, 0.42 oz",11.99,5.99,5.39,Beverages,0.5,0.55,0.05,50% or more,Coffee
2,Brekki,"Vanilla Cinnamon Overnight Oats, 5.3 oz",2.99,1.5,1.35,pantry_essentials,0.498,0.548,0.05,50% or more,Oats
3,Brekki,"Original Overnight Oats, 5.3 oz",2.99,1.5,1.35,pantry_essentials,0.498,0.548,0.05,50% or more,Oats
4,MAD HIPPIE,"Antioxidant Facial Oil, 1 each",25.99,14.49,13.04,beauty,0.442,0.498,0.056,40% to 50%,Wash
5,Ocean's Halo,"Organic and Plant-Based No Fish Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
6,Ocean's Halo,"Organic and Plant-Based No Beef Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
7,Ocean's Halo,"Organic Thai Coconut Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
8,Ocean's Halo,"Organic and Plant-Based No Chicken Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
9,Ocean's Halo,"Organic and Plant-Based Miso Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
10,Ocean's Halo,"Organic and Plant-Based Pho Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
11,Ocean's Halo,"Organic and Plant-Based Ramen Broth, 32 fl oz",4.99,2.79,2.51,pantry_essentials,0.441,0.497,0.056,40% to 50%,Broth
12,Barbara's Bakery,"Original Puffins Cereal, 10 oz",5.29,2.99,2.69,pantry_essentials,0.435,0.491,0.056,40% to 50%,Cereal
13,Barbara's Bakery,"Peanut Butter Puffins Cereal, 11 oz",5.29,2.99,2.69,pantry_essentials,0.435,0.491,0.056,40% to 50%,Cereal
14,Barbara's Bakery,"Cinnamon Puffins Cereal, 10 oz",5.29,2.99,2.69,pantry_essentials,0.435,0.491,0.056,40% to 50%,Cereal
15,Jason Natural Products,"Thin To Thick Conditioner, 8 oz",9.49,5.49,4.94,beauty,0.421,0.479,0.058,40% to 50%,Conditioner
16,California Olive Ranch,"Extra Virgin Olive Oil Cold Pressed, 25.4 fl oz",20.99,12.19,10.97,pantry_essentials,0.419,0.477,0.058,40% to 50%,Oil
17,Lifeway,"Chocolate Kefir, 32 fl oz",4.59,2.67,2.4,dairy_eggs,0.418,0.477,0.059,40% to 50%,Kefir
18,Lifeway,"Lowfat Cherry Kefir, 32 fl oz",4.59,2.67,2.4,dairy_eggs,0.418,0.477,0.059,40% to 50%,Kefir
19,Cucina Antica,"La Vodka Sauce, 25 oz",7.99,4.69,4.22,pantry_essentials,0.413,0.472,0.059,40% to 50%,Sauce
20,Cucina Antica,"Garlic Marinara Sauce, 25 oz",7.99,4.69,4.22,pantry_essentials,0.413,0.472,0.059,40% to 50%,Sauce
21,Cucina Antica,"Tomato Basil Sauce, 25 oz",7.99,4.69,4.22,pantry_essentials,0.413,0.472,0.059,40% to 50%,Sauce
22,Theo Chocolate,"Organic Raspberry Cocoa Nib Dark Chocolate Bar, 3 oz",3.99,2.37,2.13,snacks_chips_salsas_dips,0.406,0.466,0.06,40% to 50%,Chocolate
23,Santa Cruz Organic,"Organic Radiant Rose Sparkling Juice Mocktail, 25.4 fl oz",4.49,2.67,2.4,Beverages,0.405,0.465,0.06,40% to 50%,Seltzer
24,Santa Cruz Organic,"Organic Sangria Spritzer, 25.4 fl oz",4.49,2.67,2.4,Beverages,0.405,0.465,0.06,40% to 50%,Beverage
25,YumEarth,"Organic Gummy Fruits Ye Valentine Organic Gummy Fruits, 7 oz",6.99,4.17,3.75,snacks_chips_salsas_dips,0.403,0.464,0.061,40% to 50%,Snack
26,Larabar,"Mini Chocolate Cherry Truffle Bar, 0.78 oz",6.99,4.17,3.75,snacks_chips_salsas_dips,0.403,0.464,0.061,40% to 50%,Chocolate
27,LesserEvil,"White Chocolate Strawberry Sweetheart Popcorn 8ct, 4.8 oz",5.99,3.57,3.21,snacks_chips_salsas_dips,0.404,0.464,0.06,40% to 50%,Chocolate
28,Three Wishes Cereal,"Chocolate Strawberry Grain Free Cereal, 8.6 oz",6.99,4.17,3.75,snacks_chips_salsas_dips,0.403,0.464,0.061,40% to 50%,Cereal
29,QUE PASA,"Yellow Corn Tortilla Chips, 11 oz",4.19,2.5,2.25,snacks_chips_salsas_dips,0.403,0.463,0.06,40% to 50%,Chips
30,Annie's Homegrown,"Organic Vegan Shell Pasta & Creamy Sauce, 6 oz",4.19,2.5,2.25,pantry_essentials,0.403,0.463,0.06,40% to 50%,Sauce
31,Annie's Homegrown,"Organic Vegan Elbow Pasta & Creamy Sauce, 6 oz",4.19,2.5,2.25,pantry_essentials,0.403,0.463,0.06,40% to 50%,Sauce
32,QUE PASA,"White Corn Tortilla Chips, 11 oz",4.19,2.5,2.25,snacks_chips_salsas_dips,0.403,0.463,0.06,40% to 50%,Chips
33,Lake Champlain Chocolates,"Organic Dark Chocolate Hearts Gibag, 5.9 oz",13.49,8.07,7.26,snacks_chips_salsas_dips,0.402,0.462,0.06,40% to 50%,Chocolate
34,Lake Champlain Chocolates,"Organic Aflutter Chocolate Hearts Collection, 3.2 oz",14.99,8.97,8.07,snacks_chips_salsas_dips,0.402,0.462,0.06,40% to 50%,Chocolate
35,Lake Champlain Chocolates,"Organic Milk Chocolate Hearts Gift Bag, 5.9 oz",13.49,8.07,7.26,snacks_chips_salsas_dips,0.402,0.462,0.06,40% to 50%,Chocolate
36,Ocean's Halo,"Organic and Plant-Based Vegan Fish Sauce, 10.72 fl oz",4.49,2.69,2.42,pantry_essentials,0.401,0.461,0.06,40% to 50%,Sauce
37,Ocean's Halo,"Organic No Soy Soy-Free Sauce Less Sodium, 10 fl oz",4.49,2.69,2.42,pantry_essentials,0.401,0.461,0.06,40% to 50%,Sauce
38,AURA CACIA,"Clearing Eucalyptus Aromatherapy Mist Clearing Eucalyptus, 4 fl oz",7.99,4.79,4.31,body_care,0.401,0.461,0.06,40% to 50%,body_care
39,Groundwork Coffee,"Organic Cold Brew Coffee, 12 fl oz",4.99,3.0,2.7,Beverages,0.399,0.459,0.06,40% to 50%,Coffee
40,Groundwork Coffee,"Organic Bitches Brew Cold Brew, 12 fl oz",4.99,3.0,2.7,Beverages,0.399,0.459,0.06,40% to 50%,Coffee
41,Koia,"Straw-nana Dream Smoothie, 12 fl oz",3.29,2.0,1.8,Beverages,0.392,0.453,0.061,40% to 50%,Smoothie
42,Koia,"Glowing Greens Smoothie, 12 fl oz",3.29,2.0,1.8,Beverages,0.392,0.453,0.061,40% to 50%,Smoothie
43,Ocean's Halo,"Organic Soy-Free Teriyaki Sauce, 12 fl oz",5.99,3.69,3.32,pantry_essentials,0.384,0.446,0.062,40% to 50%,Sauce
44,Ocean's Halo,"Organic Wakame Strips, 1.76 oz",5.99,3.69,3.32,pantry_essentials,0.384,0.446,0.062,40% to 50%,Pantry
