,company,product,regular,sale,prime
0,PRODUCE,Organic Broccoli,2.99/lb,$2.49/lb,$2.24/lb
1,PRODUCE,Organic Bunched Celery,2.69,2 for $4,2 for $3.60
2,Vital Farms,"Pasture-raised Alfresco Eggs, 24 oz",5.99,$5.49,$4.94
3,Organic Valley,"Organic Large Brown Eggs, 24 oz",4.99,$4.49,$4.04
4,PRODUCE,Organic Tomato On The Vine,2.99/lb,$2.49/lb,$2.24/lb
5,Beyond Meat,Beyond Burger,4.99,$4.79,$4.31
6,PRODUCE,Organic Green Kale,2.29,3 for $5,3 for $4.50
7,Vital Proteins,"Unflavored Collagen Peptides, 20 oz",43.99,$37.49,$33.74
8,Siete Family Foods,"Almond Flour Amazing Grain Free Tortillas, 7 oz",8.29,$6.99,$6.29
9,PRODUCE,Organic Ginger Root,3.99/lb,$2.99/lb,$2.69/lb
10,Valid 1/12 - 1/18,Easy Peel White Shrimp 8-12 Count,19.99/lb,$15.99/lb,$14.39/lb
11,Beyond Meat,Beyond Beef Plant-based Ground Beef,8.99,$8.79,$7.91
12,PRODUCE,Organic Cripps Pink Apple,2.79/lb,$1.99/lb,$1.79/lb
13,JUST Egg,"Just Egg, 12 fl oz",4.19,2 for $7,2 for $6.30
14,PRODUCE,Organic D Anjou Pear,2.49/lb,$1.99/lb,$1.79/lb
15,Nature's Rancher,Organic Grass Fed Ground Beef 85% Lean 15% Fat,7.49,$5.99,$5.39
16,Califia Farms,"Unsweetened Almond Milk, 48 fl oz",4.49,$3.99,$3.59
17,Beyond Meat,Hot Italian Beyond Sausage,9.69,$7.99,$7.19
18,Siete Family Foods,"Cassava & Coconut Amazing Grain Free Tortillas, 7 oz",8.29,$6.99,$6.29
19,Klare Melk,Truffle Gouda,24.99/lb,$23.99/lb,$21.59/lb
20,LaCroix Sparkling Water,"Grapefruit Sparkling Water, 12 fl oz",5.99,2 for $9,2 for $8.10
21,PRODUCE,Organic Dino Kale,2.29,3 for $5,3 for $4.50
22,Vital Proteins,"Collagen Peptide Protein Powder, 10 oz",25.49,$21.49,$19.34
23,PRODUCE,Organic Red Bell Pepper,3.99/lb,$2.99/lb,$2.69/lb
24,PRODUCE,Organic Gold Creamer Potatoes,4.99,2 for $7,2 for $6.30
25,Bell & Evans,Whole Chicken,2.99/lb,$1.99/lb,$1.79/lb
26,Califia Farms,Dairy Free Oat Barista Blend 32oz,4.29,$3.79,$3.41
27,Evolution Fresh,"Cold Pressed Organic Pure Orange, 59 fl oz",9.99,$7.99,$7.19
28,Essentia,"1.5L Single, 50.7 fl oz",2.69,2 for $4,2 for $3.60
29,Beyond Meat,Brat Original Beyond Sausage,9.69,$7.99,$7.19
30,Whole Foods Market,Organic Chicken Thighs,5.49/lb,$4.49/lb,$4.04/lb
31,Whole Foods Market,Organic Chicken Thighs,5.49/lb,$4.49/lb,$4.04/lb
32,LaCroix Sparkling Water,LaCroix Lime Sparkling Water (12-pk),5.99,2 for $9,2 for $8.10
33,Siete Family Foods,"Sea Salt Grain Free Tortilla chips, 5 oz",4.99,2 for $7,2 for $6.30
34,JUST Egg,"Folded, 8 oz",4.29,2 for $7,2 for $6.30
35,Horizon Organic,"Organic American Cheese Slices 8oz, 12 slices",4.99,$3.99,$3.59
36,MALK Organics,"Almond Malk Unsweetened, 28 fl oz",5.99,$4.99,$4.49
37,Good Culture,"Organic Low-Fat Classic Cottage Cheese, 2% Milk Fat, 16 oz",5.49,$3.99,$3.59
38,Califia Farms,"Unsweetened Oatmilk, 48 fl oz",4.49,$3.99,$3.59
39,Tasteful Selections,Organic Ruby Sensations Potatoes,4.99,2 for $7,2 for $6.30
40,Califia Farms,"Unsweetened Vanilla Almond Milk, 48 fl oz",4.49,$3.99,$3.59
41,GT's Synergy Kombucha,Organic Gingerade 16oz,3.49,2 for $6,2 for $5.40
42,LaCroix Sparkling Water,Naturally Tangerine Essenced Sparkling Water (12 Pk),5.99,2 for $9,2 for $8.10
43,Beyond Meat,Beyond Breakfast Sausage Classic,4.99,$3.99,$3.59
44,GimMe,"Organic Roasted Premium Seaweed Snack, Sea Salt, .17 Oz, 6 Pack, 1.05 oz",5.99,$4.79,$4.31
45,Beyond Meat,Plant Based Meatballs,8.69,$5.99,$5.39
46,LaCroix Sparkling Water,Pure Sparkling Water (12 Pk),5.99,2 for $9,2 for $8.10
47,Wellshire Farms,Organic Sugar Free Turkey Bacon,7.99,$4.99,$4.49
48,SEAFOOD,"Traditional Crab Cake, 8 oz",5.99,$4.99,$4.49
49,Good Culture,"Organic Whole Milk Classic Cottage Cheese, 4% Milk Fat, 16 oz",5.49,$3.99,$3.59
50,Earth Balance,"Original Buttery Spread, 15 oz",5.79,$4.99,$4.49
51,MALK Organics,"Almond Malk Unsweetened Vanilla, 28 fl oz",5.99,$4.99,$4.49
52,Horizon Organic,"Organic Mozzarella String Cheese, 6 oz. Pack, 6 Sticks",4.99,$3.99,$3.59
53,Siete Family Foods,"Grain Free Lime Tortilla Chips, 5 oz",4.99,2 for $7,2 for $6.30
54,PRODUCE,Organic Collard Green,2.29,3 for $5,3 for $4.50
55,Siete Family Foods,"Grain Free Chickpea Flour Tortilla, 7 oz",8.29,$6.99,$6.29
56,GT's Synergy Kombucha,Organic Trilogy 16oz,3.49,2 for $6,2 for $5.40
57,LesserEvil,"Popcorn Himalayan Pink Salt, 5 oz",3.49,2 for $6,2 for $5.40
58,365 by Whole Foods Market,"Organic Creamy Peanut Butter (Unsweetened & No Salt), 16 oz",4.29,$2.19,$1.97
59,Vita Coco,"Pure Coconut Water, 33.8 fl oz",3.99,2 for $7,2 for $6.30
60,Forager Project,"Organic Dairy-free Unsweetened Plain Cashewmilk Yogurt, 24 oz",5.99,$5.49,$4.94
61,GT's Synergy Kombucha,Organic Gingerade 48oz,8.39,$7.49,$6.74
62,Organic Valley,"Cream Cheese Spread, 8 oz",3.79,$3.49,$3.14
63,Bragg Live Food Products,"Organic Extra Virgin Olive Oil, 32 fl oz",20.49,$15.29,$13.76
64,365 by Whole Foods Market,"Organic Peanut Butter, Creamy, 28 oz",6.49,$2.19,$1.97
65,MALK Organics,"Oat Malk Original, 32 fl oz",5.99,$4.99,$4.49
66,Bragg Live Food Products,"Organic Apple Cider Vinegar, 32 fl oz",5.99,$4.79,$4.31
67,Siete Family Foods,"Restaurant Style Dip Chips, 5 oz",4.99,2 for $7,2 for $6.30
68,GT's Synergy Kombucha,Organic Trilogy 48oz,8.39,$7.49,$6.74
69,Califia Farms,"Toasted Coconut Almond Milk, 48 fl oz",4.49,$3.99,$3.59
70,American Flatbread,"Vegan Harvest Flatbread, 10.2 oz",8.69,$5.99,$5.39
71,Bonafide Provisions,"Organic Chicken Bone Broth, 24 fl oz",9.99,$7.99,$7.19
72,Crave Brothers Farmstead Cheese,Fresh Mozzarella Cheese,9.99,$8.99,$8.09
73,Kerrygold,Grass-Fed Kilaree Irish Cheddar (Aged 15 Months),11.99/lb,$9.99/lb,$8.99/lb
74,Bell & Evans,Organic Ground Chicken,8.99,$6.99,$6.29
75,Bob's Red Mill,"Organic Old Fashioned Rolled Oats, 32 oz",6.69,$4.99,$4.49
76,GT's Synergy Kombucha,Organic Guava Goddess 16oz,3.49,2 for $6,2 for $5.40
77,Applegate,"Organic Chicken Nuggets, 8 oz",8.99,$7.99,$7.19
78,Wildwood,Organic High Protein Tofu,3.19,$2.69,$2.42
79,Kevin's Natural Foods,"Thai Coconut Chicken, 16 oz",10.99,$6.99,$6.29
80,FAGE,"Total 0% Plain Greek Yogurt, 6 oz",1.39,10 for $11,10 for $9.90
81,Earth Balance,"Organic Whipped Buttery Spread, 13 oz",6.39,$5.49,$4.94
82,Purely Elizabeth,"Original Ancient Grain Granola, 12 oz",6.79,$4.99,$4.49
83,Changing Seas,Peppered Norwegian Roasted Salmon,7.99,$6.99,$6.29
84,Sunripe Certified Brands,Organic Grape Tomatoes,3.99,2 for $6,2 for $5.40
85,SEVENTH GENERATION,"2ply Bath Tissue (300 Ct), 4 in x",8.99,$8.49,$7.64
86,Boulder Canyon,"Avocado Oil Sea Salt Potato Chips, 5.25 oz",2.99,2 for $5,2 for $4.50
87,LaCroix Sparkling Water,"Limoncello Sparkling Water, 12 sparkling cans",5.99,2 for $9,2 for $8.10
88,Evolution Fresh,"Cold Pressed Organic Defense Up®, 15.2 fl oz",5.49,2 for $7,2 for $6.30
89,Kevin's Natural Foods,"Korean Bbq Chicken, 16 oz",10.99,$6.99,$6.29
90,Grillo's Pickles,"Pickles, 32 fl oz",7.49,$6.49,$5.84
91,Kite Hill,"Artisan Almond Milk Ricotta, 8 oz",7.99,$5.99,$5.39
92,Siete Family Foods,"Burrito Tortilla Wrap, 14.9 oz",9.99,$8.49,$7.64
93,Wellshire Farms,Virginia Baked Ham,9.99/lb,$8.49/lb,$7.64/lb
94,La Tortilla Factory,"Organic Traditional Flour Tortillas (6 Pk), 7.62 oz",3.69,$2.49,$2.24
95,Beyond Meat,Beyond Breakfast Sausage Spicy,4.99,$3.99,$3.59
96,Catalina Crunch,"Cinnamon Toast Cereal, 9 oz",9.29,$6.99,$6.29
97,SEVENTH GENERATION,"Free Clear Laundry Liquid, 100 fl oz",13.29,$12.49,$11.24
98,GT's Cocoyo,Organic Pure 8oz,5.99,$4.99,$4.49
99,Gardein,"Seven Grain Crispy Tenders, 9 oz",4.79,$4.49,$4.04
100,Beyond Meat,"Breakfast Sausage Link Plant Based, 8.3 oz",5.99,$4.29,$3.86
101,Kite Hill,"Ricotta Tortellini, 9 oz",8.99,$7.49,$6.74
102,Organic Valley,"Organic Purity Farms Ghee, 13 oz",15.29,$11.69,$10.52
103,Bragg Live Food Products,"Premium Nutritional Yeast Seasoning, 4.5 oz",5.99,$4.49,$4.04
104,Earth Balance,"Soy Free Buttery Spread, 15 oz",5.79,$4.99,$4.49
105,GT's Cocoyo,Organic Vanilla 8oz,5.99,$4.99,$4.49
106,Catalina Crunch,"Dark Chocolate Cereal, 9 oz",9.29,$6.99,$6.29
107,Siete Family Foods,"Grain Free Churro Strips, 5 oz",4.99,2 for $7,2 for $6.30
108,GT's Synergy Kombucha,Organic Mystic Mango 16oz,3.49,2 for $6,2 for $5.40
109,Kite Hill,"Spinach And Ricotta Ravioli, 9 oz",8.49,$6.99,$6.29
110,Vive Organic,"Organic Immunity Boost Wellness Shot, 2 fl oz",3.99,$3.19,$2.87
111,Solely,"Mango Halves Organic, 8 oz",7.69,$6.99,$6.29
