,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins
0,PRODUCE,Organic Bunched Celery,2.69,2,1.8,0.256505576,0.330855019,0.074349442,25% to 50%
1,Vital Farms,Pasture-raised Alfresco Eggs,5.99,5.49,4.94,0.083472454,0.175292154,0.091819699,0% to 25%
2,Organic Valley,Organic Large Brown Eggs,4.99,4.49,4.04,0.100200401,0.190380762,0.090180361,0% to 25%
3,PRODUCE,Organic Tomato On The Vine,2.99,2.49,2.24,0.16722408,0.25083612,0.08361204,25% to 50%
4,Beyond Meat,Beyond Burger,4.99,4.79,4.31,0.04008016,0.136272545,0.096192385,0% to 25%
5,PRODUCE,Organic Green Kale,2.29,1.666666667,1.5,0.272197962,0.344978166,0.072780204,25% to 50%
6,Vital Proteins,Unflavored Collagen Peptides,43.99,37.49,33.74,0.147760855,0.233007502,0.085246647,0% to 25%
7,Siete Family Foods,Almond Flour Amazing Grain Free Tortillas,8.29,6.99,6.29,0.15681544,0.241254524,0.084439083,0% to 25%
8,PRODUCE,Organic Ginger Root,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
9,Whole Foods Market,Easy Peel White Shrimp 8-12 Count,19.99,15.99,14.39,0.20010005,0.28014007,0.08004002,25% to 50%
10,Beyond Meat,Beyond Beef Plant-based Ground Beef,8.99,8.79,7.91,0.022246941,0.120133482,0.097886541,0% to 25%
11,PRODUCE,Organic Cripps Pink Apple,2.79,1.99,1.79,0.286738351,0.358422939,0.071684588,25% to 50%
12,JUST Egg,Just Egg,4.19,3.5,3.15,0.164677804,0.248210024,0.08353222,0% to 25%
13,PRODUCE,Organic D Anjou Pear,2.49,1.99,1.79,0.200803213,0.281124498,0.080321285,25% to 50%
14,Nature's Rancher,Organic Grass Fed Ground Beef 85% Lean 15% Fat,7.49,5.99,5.39,0.200267023,0.280373832,0.080106809,25% to 50%
15,Califia Farms,Unsweetened Almond Milk,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
16,Beyond Meat,Hot Italian Beyond Sausage,9.69,7.99,7.19,0.175438596,0.257997936,0.08255934,25% to 50%
17,Siete Family Foods,Cassava & Coconut Amazing Grain Free Tortillas,8.29,6.99,6.29,0.15681544,0.241254524,0.084439083,0% to 25%
18,Klare Melk,Truffle Gouda,24.99,23.99,21.59,0.040016006,0.136054422,0.096038415,0% to 25%
19,LaCroix Sparkling Water,Grapefruit Sparkling Water,5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
20,PRODUCE,Organic Dino Kale,2.29,1.666666667,1.5,0.272197962,0.344978166,0.072780204,25% to 50%
21,Vital Proteins,Collagen Peptide Protein Powder,25.49,21.49,19.34,0.156924284,0.241271087,0.084346803,0% to 25%
22,PRODUCE,Organic Red Bell Pepper,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
23,PRODUCE,Organic Gold Creamer Potatoes,4.99,3.5,3.15,0.298597194,0.368737475,0.070140281,25% to 50%
24,Bell & Evans,Whole Chicken,2.99,1.99,1.79,0.334448161,0.401337793,0.066889632,25% to 50%
25,Califia Farms,Dairy Free Oat Barista Blend 32oz,4.29,3.79,3.41,0.116550117,0.205128205,0.088578089,0% to 25%
26,Evolution Fresh,Cold Pressed Organic Pure Orange,9.99,7.99,7.19,0.2002002,0.28028028,0.08008008,25% to 50%
27,Essentia,1.5L Single,2.69,2,1.8,0.256505576,0.330855019,0.074349442,25% to 50%
28,Beyond Meat,Brat Original Beyond Sausage,9.69,7.99,7.19,0.175438596,0.257997936,0.08255934,25% to 50%
29,Whole Foods Market,Organic Chicken Thighs,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
30,Whole Foods Market,Organic Chicken Thighs,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
31,Wellshire Farms,Organic Uncured Turkey Bacon,7.99,4.99,4.49,0.375469337,0.438047559,0.062578223,25% to 50%
32,LaCroix Sparkling Water,LaCroix Lime Sparkling Water (12-pk),5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
33,Siete Family Foods,Sea Salt Grain Free Tortilla chips,4.99,3.5,3.15,0.298597194,0.368737475,0.070140281,25% to 50%
34,JUST Egg,Folded,4.29,3.5,3.15,0.184149184,0.265734266,0.081585082,25% to 50%
35,Horizon Organic,Organic American Cheese Slices 8oz,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
36,MALK Organics,Almond Malk Unsweetened,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
37,Good Culture,Organic Low-Fat Classic Cottage Cheese,5.49,3.99,3.59,0.273224044,0.346083789,0.072859745,25% to 50%
38,Califia Farms,Unsweetened Oatmilk,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
39,Tasteful Selections,Organic Ruby Sensations Potatoes,4.99,3.5,3.15,0.298597194,0.368737475,0.070140281,25% to 50%
40,Califia Farms,Unsweetened Vanilla Almond Milk,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
41,GT's Synergy Kombucha,Organic Gingerade 16oz,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
42,LaCroix Sparkling Water,Naturally Tangerine Essenced Sparkling Water (12 Pk),5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
43,Beyond Meat,Beyond Breakfast Sausage Classic,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
44,GimMe,Organic Roasted Premium Seaweed Snack,5.99,4.79,4.31,0.20033389,0.280467446,0.080133556,25% to 50%
45,Beyond Meat,Plant Based Meatballs,8.69,5.99,5.39,0.310701956,0.379746835,0.069044879,25% to 50%
46,LaCroix Sparkling Water,Pure Sparkling Water (12 Pk),5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
47,Wellshire Farms,Organic Sugar Free Turkey Bacon,7.99,4.99,4.49,0.375469337,0.438047559,0.062578223,25% to 50%
48,SEAFOOD,Traditional Crab Cake,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
49,Good Culture,Organic Whole Milk Classic Cottage Cheese,5.49,3.99,3.59,0.273224044,0.346083789,0.072859745,25% to 50%
50,Earth Balance,Original Buttery Spread,5.79,4.99,4.49,0.138169257,0.224525043,0.086355786,0% to 25%
51,MALK Organics,Almond Malk Unsweetened Vanilla,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
52,Horizon Organic,Organic Mozzarella String Cheese,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
53,Siete Family Foods,Grain Free Lime Tortilla Chips,4.99,3.5,3.15,0.298597194,0.368737475,0.070140281,25% to 50%
54,PRODUCE,Organic Collard Green,2.29,1.666666667,1.5,0.272197962,0.344978166,0.072780204,25% to 50%
55,Siete Family Foods,Grain Free Chickpea Flour Tortilla,8.29,6.99,6.29,0.15681544,0.241254524,0.084439083,0% to 25%
56,GT's Synergy Kombucha,Organic Trilogy 16oz,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
57,LesserEvil,Popcorn Himalayan Pink Salt,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
58,365 by Whole Foods Market,Organic Creamy Peanut Butter (Unsweetened & No Salt),4.29,2.19,1.97,0.48951049,0.540792541,0.051282051,50% to 75%
59,Vita Coco,Pure Coconut Water,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
60,Forager Project,Organic Dairy-free Unsweetened Plain Cashewmilk Yogurt,5.99,5.49,4.94,0.083472454,0.175292154,0.091819699,0% to 25%
61,GT's Synergy Kombucha,Organic Gingerade 48oz,8.39,7.49,6.74,0.10727056,0.196662694,0.089392133,0% to 25%
62,Organic Valley,Cream Cheese Spread,3.79,3.49,3.14,0.079155673,0.171503958,0.092348285,0% to 25%
63,Bragg Live Food Products,Organic Extra Virgin Olive Oil,20.49,15.29,13.76,0.253782333,0.328452904,0.074670571,25% to 50%
64,365 by Whole Foods Market,Organic Peanut Butter,6.49,2.19,1.97,0.662557781,0.696456086,0.033898305,50% to 75%
65,MALK Organics,Oat Malk Original,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
66,Bragg Live Food Products,Organic Apple Cider Vinegar,5.99,4.79,4.31,0.20033389,0.280467446,0.080133556,25% to 50%
67,Siete Family Foods,Restaurant Style Dip Chips,4.99,3.5,3.15,0.298597194,0.368737475,0.070140281,25% to 50%
68,GT's Synergy Kombucha,Organic Trilogy 48oz,8.39,7.49,6.74,0.10727056,0.196662694,0.089392133,0% to 25%
69,Califia Farms,Toasted Coconut Almond Milk,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
70,American Flatbread,Vegan Harvest Flatbread,8.69,5.99,5.39,0.310701956,0.379746835,0.069044879,25% to 50%
71,Bonafide Provisions,Organic Chicken Bone Broth,9.99,7.99,7.19,0.2002002,0.28028028,0.08008008,25% to 50%
72,Crave Brothers Farmstead Cheese,Fresh Mozzarella Cheese,9.99,8.99,8.09,0.1001001,0.19019019,0.09009009,0% to 25%
73,Kerrygold,Grass-Fed Kilaree Irish Cheddar (Aged 15 Months),11.99,9.99,8.99,0.166805671,0.250208507,0.083402836,25% to 50%
74,Bell & Evans,Organic Ground Chicken,8.99,6.99,6.29,0.22246941,0.300333704,0.077864294,25% to 50%
